"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"164216 (2004 OT11)",Y,Y,2.15328762420752,.565057533603128,19.98631113052153,294.8893026849368,326.601811799853,167.1474290055532,,,,,.3119255915547066,2460600.5,.0164332,3.15981217974125,"Otto Matic",2023-12-13
"164400 (2005 GN59)",Y,Y,1.656651571360674,.467894749931089,6.626315026875743,218.9609259066929,203.0549624594192,169.7176356883745,,,38.69,,.4622291270204414,2460600.5,.049692,2.13233270201073,"Otto Matic",2024-06-06
"168318 (1989 DA)",Y,Y,2.162358787638593,.5417172231074712,6.491163811445295,349.0701994579959,139.818476457838,83.00327049147921,0.9,,3.925,,.3099648449379311,2460600.5,.0462977,3.1798002240058,"Otto Matic",2024-06-07
"170086 (2002 XR14)",Y,Y,1.904813882059199,.6259667593644194,2.132775163420001,75.47886135920291,120.489201776715,69.27520579754237,,,,,.3749084703982352,2460600.5,.0114022,2.6289784339111,"Otto Matic",2024-09-25
"170903 (2004 WS2)",Y,Y,1.336337951217205,.6030673328285611,8.266952471082245,87.66761557761207,115.4603292742154,267.9581391170067,,,,,.6380131359863732,2460600.5,.0302835,1.54483697556441,"Otto Matic",2022-11-14
"171576 (1999 VP11)",Y,Y,1.08585629313151,.5835923789677807,17.27858094938522,208.0781631818302,61.73806956624022,111.2393518469466,,,2.796,,.871054933570775,2460600.5,.00221179,1.13153171560272,"Otto Matic",2024-02-22
"171839 (2001 JM1)",Y,Y,1.460493006774959,.3107713262713996,17.07893569295367,226.642588964925,321.9845242453213,118.8388455737777,,,5.7516,,.5584121397760242,2460600.5,.0477631,1.7650516762814,"Otto Matic",2024-07-01
"172678 (2003 YM137)",Y,Y,2.559431432389301,.7028495515442897,2.824413042169507,73.9820520120853,131.0163793075178,326.0374445649019,,,,,.2407070581370741,2460600.5,.0154017,4.09471284720815,"Otto Matic",2007-12-16
"173561 (2000 YV137)",Y,Y,1.448058134356173,.3109066231436214,27.99792405407031,137.2222218448546,211.3835023621687,330.2997198741852,,,2.722,,.5656204168409382,2460600.5,.0198946,1.74255782503822,"Otto Matic",2024-06-06
"175706 (1996 FG3)",Y,Y,1.05501883698792,.3501032787101208,1.972137778278292,299.4980220484517,24.06176733307634,32.71903262657393,1.196,,3.5942,,.9095231405489691,2460600.5,.0281351,1.08367367406689,"Otto Matic",2024-06-28
"175729 (1998 BB10)",Y,Y,1.271436957777968,.4245574611044073,11.53609238851249,124.2747709890163,259.2498032525482,280.6100112569574,,,,,.6874827840806311,2460600.5,.0225739,1.43367413147026,"Otto Matic",2024-03-31
"177049 (2003 EE16)",Y,Y,1.417766485716666,.6143244309416289,.6522589521038903,127.2285369474147,259.4965442567774,5.130346381646834,,,,,.5838442601838332,2460600.5,9.66252E-5,1.688166435099,"Otto Matic",2024-07-13
"177614 (2004 HK33)",Y,Y,1.889163289343362,.5203547561519523,5.437502176056193,104.70194581872,221.5358298024238,294.3647318540095,,,,,.3795769461330254,2460600.5,.00817816,2.5966442203846,"Otto Matic",2024-05-27
"179806 (2002 TD66)",Y,Y,1.8577602361741,.5347139663561401,4.926093905066483,335.5265283183485,125.8829910005692,220.4640069772985,,,9.455,,.3892418961475485,2460600.5,.00590501,2.53216905251622,"Otto Matic",2008-04-13
"180186 (2003 QZ30)",Y,Y,2.421786046017458,.6315236246595758,8.56526006929438,178.0424146575231,243.1005677442802,198.7776233010051,,,,,.2615172947792415,2460600.5,.0454585,3.76887610511407,"Otto Matic",2023-04-23
"184266 (2004 VW14)",Y,Y,2.121185908771911,.5976793719787077,3.833938473814293,100.8322827997192,42.77850084214582,140.1696645495269,,,2.5009,,.3190332688999326,2460600.5,.00756223,3.08941536651059,"Otto Matic",2011-05-23
"185851 (2000 DP107)",Y,Y,1.365146164336464,.3764932022791939,8.671079772316785,358.6505666182097,289.7658282995189,62.21848554045668,0.863,"0.992 x 0.938 x 0.964",2.7754,3.224e-8,.6179243993852671,2460600.5,.0149377,1.59505966158335,"Otto Matic",2024-09-29
"186844 (2004 GA1)",Y,Y,2.429900946194243,.6726392055814122,7.774806558022747,261.4783091934123,54.62841061097218,114.8780936082433,,,,,.2602083439288986,2460600.5,.017442,3.78783504204952,"Otto Matic",2023-12-28
"187040 (2005 JS108)",Y,Y,1.355437654043773,.3222030743713558,6.040116887811615,110.8381173383496,243.9999186582465,28.4197410670415,0.430,,,,.6245752272296695,2460600.5,.0195607,1.57807457035935,"Otto Matic",2024-07-26
"189040 (2000 MU1)",Y,Y,1.372483966376655,.3824697304412488,13.09282548022899,130.0348039713035,63.77967268948844,84.70819142197229,,,,,.6129755534581538,2460600.5,.0112424,1.60793734400509,"Otto Matic",2023-11-12
"189865 (2003 NC)",Y,Y,1.405614627109196,.8054791595338763,21.56993385958594,288.3885167113034,224.3268186912436,315.3321092111862,,,,,.5914318002857067,2460600.5,.0379726,1.66650877225645,"Otto Matic",2024-09-03
"192559 (1998 VO)",Y,Y,1.07481218620307,.226629793895062,10.06084624851387,228.1177779475405,75.97433639614486,182.1068080607339,,,,,.8845149977786252,2460600.5,.0252986,1.11431268643591,"Otto Matic",2018-11-13
"192563 (1998 WZ6)",Y,Y,1.452059775046433,.4078473647872217,24.76079157246523,68.68139752485114,110.7471875550822,226.246232861612,,,,,.5632838915822539,2460600.5,.0359598,1.74978602814107,"Otto Matic",2022-10-16
"194006 (2001 SG10)",Y,Y,1.448967293790491,.42430876479785,4.256309072723975,184.9264536181158,101.6168968471458,114.8507950582106,,,,,.565088149687593,2460600.5,.017264,1.74419917301833,"Otto Matic",2022-12-01
"194268 (2001 UY4)",Y,Y,1.452833765360325,.7874989716929545,5.436871818874662,160.6874706908228,107.8084995964642,74.44612795254349,1.244,,6.802,,.5628338212969758,2460600.5,.0258738,1.75118524522267,"Otto Matic",2024-01-13
