"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"450293 (2004 LV3)",Y,Y,1.231,0.2757,35.34,273.47,121.35,237.45,,,,,0.7213,2460600.5,0.0115,1.37,"Otto Matic"
"450300 (2004 QD14)",Y,Y,0.9417,0.3378,6.25,75.25,109.35,125.12,,,,,1.079,2460600.5,0.0137,0.914,"Otto Matic"
"450894 (2008 BT18)",Y,Y,2.22,0.5946,8.15,107.53,139.40,338.58,,,2.5702,,0.2981,2460600.5,0.0124,3.31,"Otto Matic"
"451003 (2008 UD1)",Y,Y,1.716,0.4637,6.48,154.19,6.69,308.36,,,,,0.4386,2460600.5,0.049,2.25,"Otto Matic"
"451124 (2009 KC3)",Y,Y,3.209,0.6984,10.01,340.11,337.28,231.75,2.188,,,,0.1715,2460600.5,0.00631,5.75,"Otto Matic"
"451157 (2009 SQ104)",Y,Y,1.285,0.2795,4.02,56.52,95.68,352.48,,,,,0.6769,2460600.5,0.0387,1.46,"Otto Matic"
"451297 (2010 TK54)",Y,Y,1.84,0.4960,30.79,28.14,223.01,316.01,,,,,0.3949,2460600.5,0.014,2.5,"Otto Matic"
"451370 (2011 AK5)",Y,Y,1.188,0.2308,5.52,316.78,325.69,57.90,,,,,0.7613,2460600.5,0.0376,1.29,"Otto Matic"
"452302 (1995 YR1)",Y,Y,1.698,0.8268,3.58,106.52,110.04,335.76,,,5.006,,0.4453,2460600.5,0.0139,2.21,"Otto Matic"
"452376 (2002 AC5)",Y,Y,1.76,0.4937,16.55,82.37,331.72,290.44,,,,,0.4221,2460600.5,0.0475,2.34,"Otto Matic"
"452807 (2006 KV89)",Y,Y,1.15,0.2726,3.55,71.69,87.81,19.64,,,,,0.7993,2460600.5,0.0142,1.23,"Otto Matic"
"453563 (2010 BB)",Y,Y,0.8201,0.2775,10.02,279.70,29.00,82.29,,,,,1.327,2460600.5,0.0116,0.743,"Otto Matic"
"453707 (2010 XY72)",Y,Y,1.133,0.2287,31.48,34.42,307.01,210.45,0.495,,13.248,,0.8171,2460600.5,0.0473,1.21,"Otto Matic"
"453729 (2011 BO24)",Y,Y,1.381,0.2780,20.37,91.47,178.61,40.06,,,,,0.6076,2460600.5,0.0183,1.62,"Otto Matic"
"453778 (2011 JK)",Y,Y,1.911,0.4646,6.70,203.31,11.10,22.86,,,2.4567,,0.3731,2460600.5,0.0249,2.64,"Otto Matic"
"454094 (2013 BZ45)",Y,Y,1.015,0.1448,11.85,131.05,98.76,96.20,0.167,,0.4831,,0.9638,2460600.5,0.0257,1.02,"Otto Matic"
"454100 (2013 BO73)",Y,Y,1.331,0.4182,4.54,24.78,298.15,356.14,0.548,,1.1,,0.6415,2460600.5,0.0178,1.54,"Otto Matic"
"454101 (2013 BP73)",Y,Y,1.328,0.6287,6.85,80.03,251.89,323.38,,,,,0.6437,2460600.5,0.00217,1.53,"Otto Matic"
"455148 (1994 UG)",Y,Y,1.239,0.2929,5.21,13.60,225.47,42.93,,,,,0.7145,2460600.5,0.0232,1.38,"Otto Matic"
"455176 (1999 VF22)",Y,Y,1.313,0.7388,3.92,3.22,271.98,243.48,,,6.681,,0.6554,2460600.5,0.0342,1.5,"Otto Matic"
"455184 (2000 ED14)",Y,Y,0.835,0.5666,13.78,3.87,310.12,2.21,,,,,1.292,2460600.5,0.035,0.763,"Otto Matic"
"455299 (2002 EL6)",Y,Y,2.304,0.5779,9.53,84.87,186.71,145.71,0.537,,,,0.2818,2460600.5,0.0368,3.5,"Otto Matic"
"455687 (2005 EK94)",Y,Y,1.978,0.4805,14.19,103.00,154.96,345.29,,,,,0.3544,2460600.5,0.0388,2.78,"Otto Matic"
"456938 (2007 YV56)",Y,Y,1.576,0.6221,6.24,102.36,265.75,203.84,,,,,0.498,2460600.5,0.00492,1.98,"Otto Matic"
"457662 (2009 DZ)",Y,Y,1.453,0.3021,14.11,151.44,335.89,349.33,,,,,0.5625,2460600.5,0.0456,1.75,"Otto Matic"
