"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"516423 (2003 JC11)",Y,N,2.925704297257722,.5592958683630355,21.03619821980806,74.19240999222433,71.15391033350353,127.9203650468956,,,,,.1969511085050518,2460600.5,.461276,5.00442110150538,"Otto Matic",2023-06-16
"516428 (2003 UR12)",Y,N,2.431072573429847,.5668179522923881,60.48276529923913,193.9832396195599,122.2432881351083,205.6070939057253,,,,,.2600202600037673,2460600.5,.242955,3.79057494732632,"Otto Matic",2022-11-15
"516435 (2004 FJ29)",Y,N,.9132954997856636,.3492047377753175,33.4400639399307,195.4258505970456,210.2780874514569,308.165793649275,,,,,1.129242194574347,2460600.5,.13359,0.872820983933456,"Otto Matic",2018-05-05
"516454 (2005 FN4)",Y,N,2.662117556194288,.7640288918643143,29.3275088482962,190.4512059457743,105.692589148776,160.0086537181618,,,,,.2269150126147331,2460600.5,.0507846,4.34359221988101,"Otto Matic",2018-11-20
"516457 (2005 HM3)",Y,N,1.678470060876304,.3100447242867526,28.32214275725226,209.1959748975233,4.33890416771631,347.1754363038747,,,,,.4532456819463294,2460600.5,.155985,2.17459608028713,"Otto Matic",2018-07-04
"516641 (2008 GB110)",Y,N,1.837537151425218,.3261977026125152,36.13664694795572,203.5362667340734,315.1312837796701,246.3508873223712,,,,,.3956852681468105,2460600.5,.317213,2.49093499988951,"Otto Matic",2023-05-28
"516734 (2009 FG1)",Y,N,1.19377308426398,.2721314521137869,69.81797376497002,5.026645222431968,11.66988981441836,129.5468838411558,,,,,.7556512408004574,2460600.5,.129116,1.3043401904872,"Otto Matic",2022-04-30
"516803 (2010 JG88)",Y,N,1.373726765387058,.3844055696192885,30.61263820142181,213.3473630473441,106.0591091324763,299.776922096493,0.463,,,,.612143910909531,2460600.5,.0529285,1.61012184520973,"Otto Matic",2018-11-19
"516868 (2011 GC60)",Y,N,1.773021835436392,.4031492198105582,44.6448085574763,16.3717086311258,241.5221310438231,230.1015869581338,,,,,.4174773784912219,2460600.5,.223689,2.36090943880515,"Otto Matic",2023-10-17
"516976 (2012 HM1)",Y,N,2.068800273644607,.4803084680832175,7.565927377414367,211.8259548706596,71.97019864079255,39.98604918749125,,,,,.3312273777647006,2460600.5,.136551,2.97567879207054,"Otto Matic",2024-09-28
"516984 (2012 PN28)",Y,N,1.780217891372213,.5315699483498418,24.4794984105406,319.0387564485987,174.9109272698295,270.1141982332246,1.824,,,,.4149486268502443,2460600.5,.149744,2.37529713219962,"Otto Matic",2024-09-28
"516986 (2012 QP10)",Y,N,1.753502298377437,.3546439524480566,15.66065821627403,133.2353063341786,271.7370010338341,46.41265455205824,,,4.788,,.424467618522738,2460600.5,.310015,2.32202938541649,"Otto Matic",2021-07-14
"517046 (2013 AA53)",Y,N,1.282539361126955,.6671867585146154,27.86642105081731,98.35316053534038,195.9410770637061,132.9754539598026,,,,,.6785752575044822,2460600.5,.347711,1.45249369538212,"Otto Matic",2022-01-04
"517103 (2013 EM20)",Y,Y,1.371274471467211,.317939174122168,8.363795622225146,73.88212043463345,350.1575807408224,157.1846973088849,,,8.038,,.6137867195854694,2460600.5,.0424151,1.60581233173832,"Otto Matic",2021-05-06
"517681 (2015 DE198)",Y,Y,2.062806573253195,.5831513537321658,12.25522039800946,33.23439085081117,218.1115723853112,50.47183084017539,,,33.558,,.332672049625783,2460600.5,.0420497,2.96275651794694,"Otto Matic",2024-09-25
"517829 (2015 RL82)",Y,N,2.134330539385556,.6144122020912045,8.526874660040507,81.01697738177889,167.5208133374518,16.4826889943296,,,,,.316090581921893,2460600.5,.105382,3.1181766864889,"Otto Matic",2024-05-08
"518424 (2000 WK107)",Y,N,2.590826788884669,.5427045620146178,24.16682223427795,233.6469068215919,271.9049553801937,226.3173300955164,,,,,.2363450470381565,2460600.5,.456971,4.17028533374949,"Otto Matic",2022-05-31
"518426 (2002 ON4)",Y,N,2.177095938344419,.4037020189890266,10.46114674327431,134.8276555337297,160.8768432907832,333.6259086763832,,,,,.3068228661601151,2460600.5,.289037,3.2123625455386,"Otto Matic",2024-03-14
"518440 (2004 CL1)",Y,N,1.97856497071864,.5349424160958088,15.16969821988662,3.172655236874616,187.6030579419091,138.7150439819526,,,,,.3541429495370815,2460600.5,.069334,2.78313117529495,"Otto Matic",2018-05-19
"518463 (2005 JY80)",Y,N,2.638292001355114,.5614077968906429,18.22682333312906,117.8768614266472,212.443891082023,164.9390555648952,,,,,.2299957350498294,2460600.5,.184063,4.2854111323152,"Otto Matic",2024-01-19
"518469 (2005 LH8)",Y,N,2.655803405487368,.5536695912330114,15.87571172142249,86.3963407430787,180.7148676342171,168.0441250054529,,,,,.227724726268749,2460600.5,.170701,4.32814784550173,"Otto Matic",2022-03-23
